Participant ID,Trial #,Avg Time (s),Correctness Rate,Key Count
MatthewTest,1,1.4154643774032594,0.8,Overall
MatthewTest,1,0.5649782021840414,0.6666666666666666,1
MatthewTest,1,1.2535220781962078,0.6666666666666666,2
MatthewTest,1,2.1747857332229614,1.0,3
Participant ID,Trial #,Avg Time (s),Correctness Rate,Key Count
MatthewTest,2,1.2686627984046936,0.925,Overall
MatthewTest,2,0.593587013391348,0.9230769230769231,1
MatthewTest,2,1.2796920262850249,0.9230769230769231,2
MatthewTest,2,1.8852774585996355,0.9285714285714286,3
Participant ID,Trial #,Avg Time (s),Correctness Rate,Key Count
MatthewTest,3,4.221323976516723,0.88,Overall
MatthewTest,3,0.6341496467590332,1.0,1
MatthewTest,3,1.2042831420898437,1.0,2
MatthewTest,3,1.5636369228363036,1.0,3
MatthewTest,3,4.849476146697998,0.8,4
MatthewTest,3,12.855074024200439,0.6,5
Participant ID,Trial #,Avg Time (s),Correctness Rate,Num of Keys In Hotkey Combination
MatthewTest,4,3.1784308433532713,0.84,Overall
MatthewTest,4,0.751687479019165,1.0,1
MatthewTest,4,1.0830878734588623,1.0,2
MatthewTest,4,1.7578445434570313,1.0,3
MatthewTest,4,5.23200421333313,0.6,4
MatthewTest,4,7.067530107498169,0.6,5
Participant ID,Trial #,Avg Time (s),Correctness Rate,Num of Keys In Hotkey Combination,Combination Correctness
MatthewTest,5,0.5239450931549072,0,1,0
MatthewTest,5,0.4971349239349365,1,1,1
MatthewTest,5,0.6396493911743164,1,1,1
MatthewTest,5,0.6381685733795166,1,1,1
MatthewTest,5,0.5964155197143555,1,1,1
MatthewTest,5,1.4401659965515137,1,2,1
MatthewTest,5,1.0277748107910156,1,2,1
MatthewTest,5,0.7284691333770752,1,2,1
MatthewTest,5,0.8488428592681885,1,2,1
MatthewTest,5,0.9711763858795166,1,2,1
MatthewTest,5,1.2829558849334717,1,3,1
MatthewTest,5,1.2366986274719238,1,3,1
MatthewTest,5,1.336503505706787,1,3,1
MatthewTest,5,1.319000482559204,1,3,1
MatthewTest,5,1.8515937328338623,1,3,1
MatthewTest,5,2.369899272918701,1,4,1
MatthewTest,5,20.177719593048096,1,4,1
MatthewTest,5,4.503596067428589,1,4,1
MatthewTest,5,2.265596628189087,1,4,1
MatthewTest,5,2.4384469985961914,1,4,1
MatthewTest,5,2.9234161376953125,1,4,1
MatthewTest,5,22.703683376312256,1,5,1
MatthewTest,5,12.134757041931152,1,5,1
MatthewTest,5,12.626165628433228,1,5,1
MatthewTest,5,2.6072816848754883,1,5,1
MatthewTest,5,3.9875622940063478,0.96,Overall
MatthewTest,5,0.5790627002716064,0.8,1
MatthewTest,5,1.0032858371734619,1.0,2
MatthewTest,5,1.4053504467010498,1.0,3
MatthewTest,5,5.779779116312663,1.0,4
MatthewTest,5,12.517971932888031,1.0,5
Participant ID,Trial #,Avg Time (s),Correctness Rate,Num of Keys In Hotkey Combination,Combination Correctness
MatthewTest,6,0.7314491271972656,1,1,1
MatthewTest,6,0.6127705574035645,1,1,1
MatthewTest,6,0.750129222869873,1,1,1
MatthewTest,6,0.7337229251861572,1,1,1
MatthewTest,6,0.6908702850341797,1,1,1
MatthewTest,6,1.2543671131134033,1,2,1
MatthewTest,6,0.9616436958312988,1,2,1
MatthewTest,6,0.8642261028289795,1,2,1
MatthewTest,6,0.9115478992462158,1,2,1
MatthewTest,6,1.3892855644226074,1,2,1
MatthewTest,6,1.4031267166137695,1,3,1
MatthewTest,6,1.7595293521881104,1,3,1
MatthewTest,6,1.1341838836669922,1,3,1
MatthewTest,6,1.2760801315307617,1,3,1
MatthewTest,6,1.31662917137146,1,3,1
MatthewTest,6,2.2735533714294434,0,4,0
MatthewTest,6,10.772391080856323,0,4,0
MatthewTest,6,3.047295331954956,1,4,1
MatthewTest,6,1.600651741027832,0,4,0
MatthewTest,6,1.8759243488311768,1,4,1
MatthewTest,6,1.7679688811302186,0.85,Overall
MatthewTest,6,0.703788423538208,1.0,1
MatthewTest,6,1.076214075088501,1.0,2
MatthewTest,6,1.3779098510742187,1.0,3
MatthewTest,6,3.9139631748199464,0.4,4
Participant ID,Trial #,Avg Time (s),Correctness Rate,Num of Keys In Hotkey Combination,Combination Correctness
MatthewTest,6,1.058176040649414,1,1,1
MatthewTest,6,0.7031071186065674,1,1,1
MatthewTest,6,1.246703863143921,1,1,1
MatthewTest,6,0.7780745029449463,1,1,1
MatthewTest,6,0.602297306060791,1,1,1
MatthewTest,6,1.193256139755249,1,2,1
MatthewTest,6,1.1085457801818848,1,2,1
MatthewTest,6,1.3105571269989014,1,2,1
MatthewTest,6,1.2820348739624023,1,2,1
MatthewTest,6,1.414961576461792,1,2,1
MatthewTest,6,1.1130609512329102,1,3,1
MatthewTest,6,1.592672348022461,0,3,0
MatthewTest,6,1.5223004817962646,1,3,1
MatthewTest,6,1.3549351692199707,1,3,1
MatthewTest,6,1.5683772563934326,1,3,1
MatthewTest,6,2.1742823123931885,1,4,1
MatthewTest,6,2.6758248805999756,1,4,1
MatthewTest,6,2.8219237327575684,1,4,1
MatthewTest,6,1.734292984008789,1,4,1
MatthewTest,6,3.8673923015594482,1,4,1
MatthewTest,6,1.5561388373374938,0.95,Overall
MatthewTest,6,0.877671766281128,1.0,1
MatthewTest,6,1.261871099472046,1.0,2
MatthewTest,6,1.4302692413330078,0.8,3
MatthewTest,6,2.6547432422637938,1.0,4
